url,Phishing
https://vp2-whmsecure.ddns.net/paypay/ne.jp/login/signing/server/id/home/login/user/signing/home/id/home/suspended/user,Yes
https://chicstudios.co.uk/jpsaveme/,Yes
http://vlcusa.com/ahdo128wk0p/afb849b/16f01Q4540c/jqv27viw4mc0v4/,Yes
http://tpgykgsw.gyjhghg.xyz/,Yes
http://thanhthangfurniture.vn/intro/plugins/compte/paypal.fr/56679434d594a3f29e6a0a9a8c54d173/,Yes
https://www.login-bcoestado.cl/banco-estado/comun2019/,Yes
http://ekaligardens.com/API/PODue9292942424invoiccc60102457i2E9AE8133647j69i60j69i57j69i60l33666j0j7&amp;sourceidv/a040410e8c984924088e0083cb8e5718,Yes
http://xnxx-com-bokep-18.000webhostapp.com/grub-wa-bokep-jepang/login.php,Yes
http://xc.pl/w20opuw7?id=4herxv,Yes
http://www.verificationaccounts.payplclients.com.xsph.ru/serviceppl/customer_center/customer-idpp00c753/signin/signin.php?account_update=4a4113e0791d0e913c134868b20ebfdb&cmd=_update-information&lim_session=5177530a3b4f2ef9f65e0d77229ef18f1b15b2aa,Yes
http://www.mytiv.com.my/z6ye58jd386/ondrve/drive/syn,Yes
http://www.ledrusso.com.br/wp-content/themes/oceanwp/sass/email_usage/qouta25.4gb/roundcube,Yes
http://www.cutli.io/6n,Yes
http://www.groupeleclerc.fr//ch/account/?email=phish@nab.com.au,Yes
http://www.g4guru.com/wp-includes/images/media/cookies/chase/login.php,Yes
http://www.firmatanitim.com/--/app/www.esfera.com.vc/kwy6qfhd08cknu71wfkf,Yes
http://www.dezrussia.ru/aaw/bank.of.america.sign.in.authenticate/myaccounts/956457731728774496200542554c5908/signin.go/?7777772e64657a7275737369612e7275=,Yes
http://www.ciamiskab.go.id/rambu/wp-admin/network/ch/updatenew/wetransfer/wetransfer/wetransfer,Yes
http://www.burke-electrical.com/remit/uhuru/no_cap/fbg/office.php,Yes
http://whatsapgrupbokep.000webhostapp.com/grup-whatsap%20bantu%20member%20banyak/login.php,Yes
http://whatafsjdvsidbbdbdjdnli181927.000webhostapp.com/indo,Yes
http://wagrups73.000webhostapp.com/wa_18__(pulberaja)_,Yes
http://viamaris.lt/obd972f61fbc67dfe/index.php?rzz=rhadubiak@cr.gov.sk.ca,Yes
http://vermeulensingel.top/justin/afzz,Yes
http://unretarded-fruit.000webhostapp.com/wa%20bkp/login.php,Yes
http://unipin3640diamondgratis.000webhostapp.com/duniagames/login/index.php,Yes
http://ungrudging-railways.000webhostapp.com/wa_18__(pulberaja)_-1/login.php,Yes
http://u483012q2v.ha003.t.justns.ru/www/secure.bankofamerica.com/login/sign-in/signOnV2Screen.go/login/details.php,Yes
http://turpialexpress.com/admin02_sharep01nt/adobe01_sharep01nt_le77er,Yes
http://top-up-diamond-ff-codshop-gratis.000webhostapp.com/script%20reedit%20codashop%20by%20jeky%20gans%20(sfile.mobi)/login/index.php,Yes
http://top-up-diamond2019.000webhostapp.com/bundle-free-fire/login.php,Yes
http://topup-diamon13-freefire-gratis-2019.000webhostapp.com/script%20phising%20versi%20diamond%20free%20fire%20-%20uhuinfo%20(sfile.mobi)%20(5)/login/index.php,Yes
http://termosbrasil.com.br/aklp7985.htm,Yes
https://zsputnik.com/jg/att%20file/controller.php?tam_op=login&username=unauthenticated&error_code=0x00000000&error_text=hpdba0521i%20%20%20successful%20completion&method=get&url=%2ffim%2fsps%2fauth%3ffedname%3dattsyn%26fedid%3duuid9a412935-0156-1b6a-b5dc-fe4935913019%26partnerid%3dhttps%253a%252f%252fatt.auth-gateway.net%252fsaml%252fmodule.php%252fbridge%252fsp%252fmetadata.php%252fatt_sp%26assertionconsumerurl%3dhttps%253a%252f%252fatt.auth-gateway.net%252fsaml%252fmo,Yes
https://zonasegurabnwebonline01pe.000webhostapp.com/bnweb/inicio,Yes
https://zambianjobhub.com/wp-content/plugins/bankofamerica.com.login/eqqe/login.php?cmd=login_submit&amp;id=fda228970ef820c1cbade4f919a5dae4fda228970ef820c1cbade4f919a5dae4&amp;session=fda228970ef820c1cbade4f919a5dae4fda228970ef820c1cbade4f919a5dae4,Yes
https://yadarelove.top/drivesecure/oauth%20box%20-%20asu/box.html,Yes
https://www.yourl.com.br/c9bcj,Yes
https://cyaning.com/cd/off-vl,Yes
https://www.vadodaramarathon.com/anonymus/haland/chasmor/mor/morg/b_se_rv/ease/home/full_verification.php,Yes
https://www.goldenhouseinn.com//2pee/roundcube/roundcube.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=traviscarter@prepaidlegal.com&.rand=13inboxlight.aspx?n=1774256418&fid=4,Yes
https://www.futuretrolly.com//wp-includes/ixr/index.php,Yes
https://www.florencehvacexperts.com/fkk/cmd-login=cd01efe09a3c34091edcbd69433f3bbc/?reff=zdywm2zkmgyzogy1m2iwmzjmyte0mwu1mzi2m2y5ywq=,Yes
https://www.ebay.com.18273912735.bid/itm/titan-engines/m.html?_nkw=&_armr11621698541?hash=item1a804d49ed:g:rjgaaoswlvndlxyf,Yes
https://www.audaxpharma.it/dzvhdzvdzyvdzd0d14dz87d8d74dzf45zf487dzdozdpdjjnzdbdzvyzidyzdgiduzgdzuigzdiuzdgzudigdzizdg325645z1d20d54zd8zd8d45d1dz5dz4dz6648zdzgugduozgduodgzougzjdbdzd0z3zd6zd78zd45zd4dz87dz9652zd4dz8zd78z41d55d78z6zd4dz8z415d/wait/red.php,Yes
