url,protocol,domain,subdomain,tld,fld,path,havingIP,http,longurl,atinurl,slash,hypen,dots,phishterm,shorten,httpinpath,phishtld,phishing
https://vp2-whmsecure.ddns.net/paypay/ne.jp/login/signing/server/id/home/login/user/signing/home/id/home/suspended/user,https,vp2-whmsecure.ddns.net,,ddns.net,vp2-whmsecure.ddns.net,/paypay/ne.jp/login/signing/server/id/home/login/user/signing/home/id/home/suspended/user,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
https://chicstudios.co.uk/jpsaveme/,https,chicstudios.co.uk,,co.uk,chicstudios.co.uk,/jpsaveme/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://vlcusa.com/ahdo128wk0p/afb849b/16f01Q4540c/jqv27viw4mc0v4/,http,vlcusa.com,,com,vlcusa.com,/ahdo128wk0p/afb849b/16f01Q4540c/jqv27viw4mc0v4/,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1
http://tpgykgsw.gyjhghg.xyz/,http,tpgykgsw.gyjhghg.xyz,tpgykgsw,xyz,gyjhghg.xyz,/,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://thanhthangfurniture.vn/intro/plugins/compte/paypal.fr/56679434d594a3f29e6a0a9a8c54d173/,http,thanhthangfurniture.vn,,vn,thanhthangfurniture.vn,/intro/plugins/compte/paypal.fr/56679434d594a3f29e6a0a9a8c54d173/,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
https://www.login-bcoestado.cl/banco-estado/comun2019/,https,www.login-bcoestado.cl,www,cl,login-bcoestado.cl,/banco-estado/comun2019/,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,1
http://ekaligardens.com/API/PODue9292942424invoiccc60102457i2E9AE8133647j69i60j69i57j69i60l33666j0j7&amp;sourceidv/a040410e8c984924088e0083cb8e5718,http,ekaligardens.com,,com,ekaligardens.com,/API/PODue9292942424invoiccc60102457i2E9AE8133647j69i60j69i57j69i60l33666j0j7&amp;sourceidv/a040410e8c984924088e0083cb8e5718,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://xnxx-com-bokep-18.000webhostapp.com/grub-wa-bokep-jepang/login.php,http,xnxx-com-bokep-18.000webhostapp.com,xnxx-com-bokep-18,com,000webhostapp.com,/grub-wa-bokep-jepang/login.php,-1,1,0,-1,-1,1,-1,1,-1,-1,-1,1
http://xc.pl/w20opuw7?id=4herxv,http,xc.pl,,pl,xc.pl,/w20opuw7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://www.verificationaccounts.payplclients.com.xsph.ru/serviceppl/customer_center/customer-idpp00c753/signin/signin.php?account_update=4a4113e0791d0e913c134868b20ebfdb&cmd=_update-information&lim_session=5177530a3b4f2ef9f65e0d77229ef18f1b15b2aa,http,www.verificationaccounts.payplclients.com.xsph.ru,www.verificationaccounts.payplclients.com,ru,xsph.ru,/serviceppl/customer_center/customer-idpp00c753/signin/signin.php,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
http://www.mytiv.com.my/z6ye58jd386/ondrve/drive/syn,http,www.mytiv.com.my,www,com.my,mytiv.com.my,/z6ye58jd386/ondrve/drive/syn,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1
