,url,result
0,https://vp2-whmsecure.ddns.net/paypay/ne.jp/login/signing/server/id/home/login/user/signing/home/id/home/suspended/user,1
1,https://chicstudios.co.uk/jpsaveme/,-1
2,http://vlcusa.com/ahdo128wk0p/afb849b/16f01Q4540c/jqv27viw4mc0v4/,1
3,http://tpgykgsw.gyjhghg.xyz/,-1
4,http://thanhthangfurniture.vn/intro/plugins/compte/paypal.fr/56679434d594a3f29e6a0a9a8c54d173/,1
5,https://www.login-bcoestado.cl/banco-estado/comun2019/,1
6,http://ekaligardens.com/API/PODue9292942424invoiccc60102457i2E9AE8133647j69i60j69i57j69i60l33666j0j7&amp;sourceidv/a040410e8c984924088e0083cb8e5718,1
7,http://xnxx-com-bokep-18.000webhostapp.com/grub-wa-bokep-jepang/login.php,1
8,http://xc.pl/w20opuw7?id=4herxv,-1
9,http://www.verificationaccounts.payplclients.com.xsph.ru/serviceppl/customer_center/customer-idpp00c753/signin/signin.php?account_update=4a4113e0791d0e913c134868b20ebfdb&cmd=_update-information&lim_session=5177530a3b4f2ef9f65e0d77229ef18f1b15b2aa,1
10,http://www.mytiv.com.my/z6ye58jd386/ondrve/drive/syn,1
11,http://www.ledrusso.com.br/wp-content/themes/oceanwp/sass/email_usage/qouta25.4gb/roundcube,1
12,http://www.cutli.io/6n,-1
13,http://www.groupeleclerc.fr//ch/account/?email=phish@nab.com.au,1
14,http://www.g4guru.com/wp-includes/images/media/cookies/chase/login.php,1
15,http://www.firmatanitim.com/--/app/www.esfera.com.vc/kwy6qfhd08cknu71wfkf,1
16,http://www.dezrussia.ru/aaw/bank.of.america.sign.in.authenticate/myaccounts/956457731728774496200542554c5908/signin.go/?7777772e64657a7275737369612e7275=,1
17,http://www.ciamiskab.go.id/rambu/wp-admin/network/ch/updatenew/wetransfer/wetransfer/wetransfer,1
18,http://www.burke-electrical.com/remit/uhuru/no_cap/fbg/office.php,1
19,http://whatsapgrupbokep.000webhostapp.com/grup-whatsap%20bantu%20member%20banyak/login.php,1
20,http://whatafsjdvsidbbdbdjdnli181927.000webhostapp.com/indo,1
21,http://wagrups73.000webhostapp.com/wa_18__(pulberaja)_,1
22,http://viamaris.lt/obd972f61fbc67dfe/index.php?rzz=rhadubiak@cr.gov.sk.ca,1
23,http://vermeulensingel.top/justin/afzz,-1
24,http://unretarded-fruit.000webhostapp.com/wa%20bkp/login.php,1
25,http://unipin3640diamondgratis.000webhostapp.com/duniagames/login/index.php,1
26,http://ungrudging-railways.000webhostapp.com/wa_18__(pulberaja)_-1/login.php,1
27,http://u483012q2v.ha003.t.justns.ru/www/secure.bankofamerica.com/login/sign-in/signOnV2Screen.go/login/details.php,1
28,http://turpialexpress.com/admin02_sharep01nt/adobe01_sharep01nt_le77er,1
29,http://top-up-diamond-ff-codshop-gratis.000webhostapp.com/script%20reedit%20codashop%20by%20jeky%20gans%20(sfile.mobi)/login/index.php,1
30,http://top-up-diamond2019.000webhostapp.com/bundle-free-fire/login.php,1
31,http://topup-diamon13-freefire-gratis-2019.000webhostapp.com/script%20phising%20versi%20diamond%20free%20fire%20-%20uhuinfo%20(sfile.mobi)%20(5)/login/index.php,1
32,http://termosbrasil.com.br/aklp7985.htm,1
33,https://zsputnik.com/jg/att%20file/controller.php?tam_op=login&username=unauthenticated&error_code=0x00000000&error_text=hpdba0521i%20%20%20successful%20completion&method=get&url=%2ffim%2fsps%2fauth%3ffedname%3dattsyn%26fedid%3duuid9a412935-0156-1b6a-b5dc-fe4935913019%26partnerid%3dhttps%253a%252f%252fatt.auth-gateway.net%252fsaml%252fmodule.php%252fbridge%252fsp%252fmetadata.php%252fatt_sp%26assertionconsumerurl%3dhttps%253a%252f%252fatt.auth-gateway.net%252fsaml%252fmo,1
34,https://zonasegurabnwebonline01pe.000webhostapp.com/bnweb/inicio,-1
35,https://zambianjobhub.com/wp-content/plugins/bankofamerica.com.login/eqqe/login.php?cmd=login_submit&amp;id=fda228970ef820c1cbade4f919a5dae4fda228970ef820c1cbade4f919a5dae4&amp;session=fda228970ef820c1cbade4f919a5dae4fda228970ef820c1cbade4f919a5dae4,1
36,https://yadarelove.top/drivesecure/oauth%20box%20-%20asu/box.html,1
37,https://www.yourl.com.br/c9bcj,-1
38,https://cyaning.com/cd/off-vl,-1
39,https://www.vadodaramarathon.com/anonymus/haland/chasmor/mor/morg/b_se_rv/ease/home/full_verification.php,-1
40,https://www.goldenhouseinn.com//2pee/roundcube/roundcube.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=traviscarter@prepaidlegal.com&.rand=13inboxlight.aspx?n=1774256418&fid=4,1
41,https://www.futuretrolly.com//wp-includes/ixr/index.php,-1
42,https://www.florencehvacexperts.com/fkk/cmd-login=cd01efe09a3c34091edcbd69433f3bbc/?reff=zdywm2zkmgyzogy1m2iwmzjmyte0mwu1mzi2m2y5ywq=,1
43,https://www.ebay.com.18273912735.bid/itm/titan-engines/m.html?_nkw=&_armr11621698541?hash=item1a804d49ed:g:rjgaaoswlvndlxyf,1
44,https://www.audaxpharma.it/dzvhdzvdzyvdzd0d14dz87d8d74dzf45zf487dzdozdpdjjnzdbdzvyzidyzdgiduzgdzuigzdiuzdgzudigdzizdg325645z1d20d54zd8zd8d45d1dz5dz4dz6648zdzgugduozgduodgzougzjdbdzd0z3zd6zd78zd45zd4dz87dz9652zd4dz8zd78z41d55d78z6zd4dz8z415d/wait/red.php,-1
45,https://www224.o-melhor-de-novidades-da-semana.com/4cdcb34c683fac7e2cadf805880a71c1/produto/133756442/smart-tv-led-40-samsung-ultra-hd-4k-40nu7100-com-conversor-digital-3-hdmi-2-usb-wi-fi-hdr-premium-smart-tizen?dcsext_recom=rr_item_page.rr1-categorysiloedviewcp&amp;fbclid=iwar1mq-v50jalzszfxm66mfm7_d4-8skbaisizc_cnotdylstjhmjoht3fry&amp;nm_origem=rec_item_page.rr1-categorysiloedviewcp&amp;nm_ranking_rec=5,-1
46,https://vodkfrhf.typeform.com/to/p7t31n,-1
47,https://vintage-nostalgia.com/confirm.date/details10/login.php?7hcqfqk7vhr-nab=secure=zfwta7p9ditsxulx9g78eebuks5hdcz3ilmii2ima14xmfllmjkqomb=signonbankid=?y46688v1h7eqg7ys7qnv2t7e5homw1nkvjhti3lp0p56ntpk9262m46hblux.enabled=true,1
48,https://vermeulensingel.top/justin/afzz,-1
49,https://variational-display.000webhostapp.com/og/CORRECT%20ATT/AT&amp;T/index.php,-1
50,http://sunstonellc.ae/ark/microsoftaccount.html,-1
51,https://tv-magazineluiza.serveftp.com/lg-tv/lg-60,-1
52,https://traceymaxfield.com/tony/att/controller.php?%20%20tam_op=login&username=unauthenticated&error_code=0x00000000&error_text=hpdba0521i%20%20%20successful%20%20%20completion&method=get&url=%2ffim%2fsps%2fauth%3ffedname%3dattsyn%26fedid%3duuid9a412935-0156-1b6a-b5dc-%20%20fe4935913019%26partnerid%3dhttps%253a%252f%252fatt.auth-gateway.net%252fsaml%252fmodule.php%252fbridge%252fsp%20%20%252fmetadata.php%252fatt_sp%26assertionconsumerurl%3dhttps%253a%252f%252fatt.auth-ga,1
53,http://stoic-defects.000webhostapp.com/script%20phising%20versi%20diamond%20free%20fire%20-%20uhuinfo/login/index.php,1
54,https://tny.sh/5bhuz2x,-1
55,https://taninevahy.com/sb/asb/index.htm,-1
56,http://standard-woman.000webhostapp.com/cox.full/cox.full/zo/stepcoxmail/log/sycho/securityid.html?preccessingid=1fe0a184ba5a7bc9cca8389c2e02eb29-1fe0a184ba5a7bc9cca8389c2e02eb29-1fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb291fe0a184ba5a7bc9cca8389c2e02eb29,1
57,https://support.web.verify.knpfoeia.com/session/?view=login&appidkey=&country=us,1
58,https://streedamn.top/wldnsmes/wells/index.html,-1
59,https://solartjbrasil.com.br/login.htm,-1
60,https://soccer1on1.com/soccer/?0120ywxhaw4ud3vocmxpbkbtdwxob3vzzs5mcg0=552,-1
61,https://simplybeautifuleverydaylife.com/download/docfilewetransf/?email=aedwards@cfindustries.com,1
62,https://simple-winz.xyz/giciyyrt/fl70pqgi07uo,-1
63,https://shriswaminarayanmission.org/wp/login.php?cmd=login_submit&amp;id=fc389c0b307d96a63d43b98c4a6e5f2dfc389c0b307d96a63d43b98c4a6e5f2d&amp;session=fc389c0b307d96a63d43b98c4a6e5f2dfc389c0b307d96a63d43b98c4a6e5f2d,1
64,https://serimagina.cl/onedrive%20business%203%20app/login.php,1
65,https://scursalpersonastransaccionesbancolombia.com/mua-user-verificacion-personas,-1
66,https://sandeepcasting.com/live/live/today_oned/today_oned,-1
67,https://realtimebiometrics.com/nicholas%20connolly/f,-1
68,https://ragingbullpictures.co.za/update/asb,-1
69,https://pl-foto.ru/vad/ch,-1
